source,lang,edit_history_tweet_ids,created_at,text,id,author_id,public_metrics,cleaned_text,Tweet_tokenized
Twitter for Android,en,['1578844547748020224'],2022-10-08T20:27:28.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578844547748020224,46243705,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
Twitter for Android,en,['1578844547236646913'],2022-10-08T20:27:28.000Z,I wanna be old and grey and still get random kisses in line at Walmart 🥺,1578844547236646913,1311130506243854338,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",wanna grey still random kisses line Walmart,"['wanna', 'grey', 'still', 'random', 'kisses', 'line', 'walmart']"
Twitter for iPhone,en,['1578844542983249923'],2022-10-08T20:27:27.000Z,"Don’t ask me why, but Walmart = wear a mask. It’s da rules",1578844542983249923,906190737829576704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Dont Walmart wear mask rules,"['dont', 'walmart', 'wear', 'mask', 'rules']"
Twitter for iPhone,en,['1578844536847335425'],2022-10-08T20:27:25.000Z,"@NedJeffers You’re most welcome. 

Btw if you have trouble holding things in, may I also recommend this to you: https://t.co/rtzHKjDuzb. Helped me a huge amount in my formative years…",1578844536847335425,1416609128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",NedJeffers Youre most welcome have trouble holding things also recommend this httpstcortzHKjDuzb Helped huge amount formative years,"['nedjeffers', 'youre', 'most', 'welcome', 'have', 'trouble', 'holding', 'things', 'also', 'recommend', 'this', 'httpstcortzhkjduzb', 'helped', 'huge', 'amount', 'formative', 'years']"
Twitter Web App,en,['1578844499869982720'],2022-10-08T20:27:16.000Z,RT @OfficerPorkChop: @LauraLynn209 Meanwhile he’s walking through Walmart with his mistress next to him 😂,1578844499869982720,1449191119867326464,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",OfficerPorkChop LauraLynn209 Meanwhile walking through Walmart with mistress next,"['officerporkchop', 'lauralynn209', 'meanwhile', 'walking', 'through', 'walmart', 'with', 'mistress', 'next']"
Twitter for iPhone,en,['1578844484347256832'],2022-10-08T20:27:13.000Z,@MoeLenelle Walmart-brand Aaron Judge,1578844484347256832,1120114420477120512,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",MoeLenelle Walmartbrand Aaron Judge,"['moelenelle', 'walmartbrand', 'aaron', 'judge']"
Twitter for iPhone,en,['1578844472582238208'],2022-10-08T20:27:10.000Z,RT @vnzndt: petition for dream and george to recreate this video irl in a walmart or some shit https://t.co/H9WIrDbldS,1578844472582238208,1394862088485588992,"{'retweet_count': 369, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",vnzndt petition dream george recreate this video walmart some shit httpstcoH9WIrDbldS,"['vnzndt', 'petition', 'dream', 'george', 'recreate', 'this', 'video', 'walmart', 'some', 'shit', 'httpstcoh9wirdblds']"
Twitter for Android,en,['1578844471974060032'],2022-10-08T20:27:10.000Z,"RT @LRaisone: Classement des entreprises au plus haut revenu en 2021:

1️⃣ Walmart: 572 M$ 🇺🇸
2️⃣ Amazon: 469 M$ 🇺🇸
3️⃣ State Grid: 440M$…",1578844471974060032,374395761,"{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",LRaisone Classement entreprises plus haut revenu 20211 Walmart Amazon State Grid 440M,"['lraisone', 'classement', 'entreprises', 'plus', 'haut', 'revenu', '20211', 'walmart', 'amazon', 'state', 'grid', '440m']"
Twitter for iPhone,en,['1578844450620514304'],2022-10-08T20:27:05.000Z,"While at the lake, had to pull up to Walmart. Pulled a good one. https://t.co/4xmzdmRNG8",1578844450620514304,4550407825,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",While lake pull Walmart Pulled good httpstco4xmzdmRNG8,"['while', 'lake', 'pull', 'walmart', 'pulled', 'good', 'httpstco4xmzdmrng8']"
Twitter for iPhone,en,['1578844430353989633'],2022-10-08T20:27:00.000Z,"Yes, SHAREMART🐻 is NOW on the table. Because I am done with clowns who act like they didn’t send a fucking trap 🪤 email. He does this to other businesses. Shady as fuck. Mind your business. This had nothing to do with you but Walmart owes me. That’s why Jim had to be HONEST. https://t.co/A8NCfDzl1J https://t.co/6GAw1P24kC",1578844430353989633,1572335551168270336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",SHAREMART table Because done with clowns like they didnt send fucking trap email does this other businesses Shady fuck Mind your business This nothing with Walmart owes Thats HONEST httpstcoA8NCfDzl1J httpstco6GAw1P24kC,"['sharemart', 'table', 'because', 'done', 'with', 'clowns', 'like', 'they', 'didnt', 'send', 'fucking', 'trap', 'email', 'does', 'this', 'other', 'businesses', 'shady', 'fuck', 'mind', 'your', 'business', 'this', 'nothing', 'with', 'walmart', 'owes', 'thats', 'honest', 'httpstcoa8ncfdzl1j', 'httpstco6gaw1p24kc']"
Twitter Web App,en,['1578844426683629573'],2022-10-08T20:26:59.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578844426683629573,2474007606,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
