public_metrics,text,created_at,author_id,id,source,lang,cleaned_text
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","The latest update for #Elastic includes ""Beat the holiday rush with #ElasticObservability"" and ""How to be a top online retailer in 2023? Start with a top #ecommerce #search engine"".
 
#Logging #Elasticsearch #DevOps https://t.co/a3LSfqvkSp",2022-09-27T00:27:27.000Z,973203003275608064,1574556285885874181,opsmatters-curator,en,latest update Elastic includes Beat holiday rush with ElasticObservability online retailer Start with ecommerce search engine Logging Elasticsearch DevOps httpstcoaLSfqvkSp
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Aussie small business wins international online retailer award #Entrepreneur #Startup #Business #Customer #Brand #b2c #yoyakka https://t.co/CnS4cGsUvW,2022-09-26T23:30:53.000Z,743304698166280193,1574542053110960134,IFTTT,en,Aussie small business wins international online retailer award Entrepreneur Startup Business Customer Brand yoyakka httpstcoCnScGsUvW
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@CassandrusB We're seeing the fans turn a new leaf on the unis. It's all turning around after the online/retailer fiascos.

Like Kirby, it sucked. But then the STAR IS FLY'N!",2022-09-26T23:29:56.000Z,2940551587,1574541813767372800,Twitter for Android,en,CassandrusB Were seeing fans turn leaf unis turning around after onlineretailer fiascos Like Kirby sucked then STAR FLYN
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @Store_Brands: Nick Green, co-founder and CEO of @thrivemarket, talked about the online membership-based retailer’s private label growth…",2022-09-26T23:09:18.000Z,915747447707783169,1574536622506274816,Twitter for iPhone,en,StoreBrands Nick Green cofounder thrivemarket talked about online membershipbased retailer’s private label growth…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","App-based and online lottery ticket resellers are not permitted to operate in California. The California Lottery has no oversight over these services. To find an authorized California Lottery retailer near you, visit: https://t.co/sHnDIIrfqf. #PlayItSafe #CALottery https://t.co/BdfyDNfZUu",2022-09-26T23:00:09.000Z,22794790,1574534318285901837,Sprout Social,en,Appbased online lottery ticket resellers permitted operate California California Lottery oversight over these services find authorized California Lottery retailer near visit httpstcosHnDIIrfqf PlayItSafe CALottery httpstcoBdfyDNfZUu
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Product Brand Page design for online watch retailer - https://t.co/E1gj47SNmC #uidesign #uiuxdesign #ecommerce https://t.co/ZnrMMiVxfl,2022-09-26T22:34:23.000Z,119020074,1574527835162943488,Twitter Web App,en,Product Brand Page design online watch retailer httpstcoEgjSNmC uidesign uiuxdesign ecommerce httpstcoZnrMMiVxfl
"{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @jayyatkin9: One for my accounts people this eve  role is literally just going live tonight. Accounts Assistant for an online retailer,…",2022-09-26T22:32:18.000Z,1121468070,1574527310807670789,Twitter for iPhone,en,jayyatkin accounts people this role literally just going live tonight Accounts Assistant online retailer…
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@greeknap @zyxrelift @MurphCraft @MsJackieMJ @thismyshow @NY_Comic_Con @Reed_POP It’s a shared-retailer pop and will be available online at Amazon! Funko posted that news themselves.,2022-09-26T22:32:07.000Z,3331895026,1574527261537194003,Twitter for iPhone,en,greeknap zyxrelift MurphCraft MsJackieMJ thismyshow NYComicCon ReedPOP It’s sharedretailer will available online Amazon Funko posted that news themselves
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @LoriAldenHoluta: Five stories, one book! And you can't read ""The Secret of Tarragon Alley"" anywhere else. Buy it for your favorite kid…",2022-09-26T22:26:31.000Z,1452050825514156034,1574525855124320256,Twitter for Android,en,LoriAldenHoluta Five stories book cant read Secret Tarragon Alley anywhere else your favorite kid…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@qldhealth This is certainly true if you buy from dodgy online stores. I buy pure VG/PG from a reputable local retailer, and mix my own juice. I know exactly what's in it.",2022-09-26T22:15:53.000Z,716109835431903232,1574523177304104961,Twitter for Android,en,qldhealth This certainly true from dodgy online stores pure VGPG from reputable local retailer juice know exactly whats
